Dataset,Solver,Timeout,Time,Size,Certificate
aa10,IC_1,0.01,0.0,6,"['1', '14', '17', '19', '24', '30']"
aa10,IC_1,0.1,0.0,6,"['1', '14', '17', '19', '24', '30']"
aa11,IC_1,0.01,0.0,11,"['1', '11', '14', '15', '17', '21', '24', '27', '29', '6', '7']"
aa11,IC_1,0.1,0.0,11,"['1', '11', '14', '15', '17', '21', '24', '27', '29', '6', '7']"
aa13,IC_1,0.01,0.0,12,"['15', '20', '22', '24', '26', '28', '31', '35', '36', '4', '41', '42']"
aa13,IC_1,0.1,0.0,12,"['0', '15', '21', '22', '24', '26', '28', '32', '35', '4', '41', '42']"
aa14,IC_1,0.01,0.01,19,"['10', '15', '16', '2', '24', '33', '35', '36', '5', '6', '7', '8', '12', '26', '38', '27', '29', '41', '13']"
aa14,IC_1,0.1,0.1,19,"['10', '13', '14', '15', '16', '22', '26', '35', '36', '38', '39', '6', '7', '8', '27', '41', '29', '33', '5']"
aa15,IC_1,0.01,0.0,6,"['10', '17', '28', '3', '8', '9']"
aa15,IC_1,0.1,0.0,6,"['10', '28', '3', '4', '8', '9']"
aa16,IC_1,0.01,0.0,0,[]
aa16,IC_1,0.1,0.0,0,[]
aa17,IC_1,0.01,0.01,28,"['11', '14', '16', '19', '24', '29', '30', '36', '38', '39', '41', '48', '7', '6', '5', '21', '22', '8', '15', '2', '35', '54', '53', '20', '32', '50', '18', '33']"
aa17,IC_1,0.1,0.1,27,"['11', '14', '15', '16', '19', '21', '24', '29', '30', '36', '38', '39', '41', '48', '5', '6', '7', '8', '2', '35', '54', '53', '20', '32', '50', '18', '33']"
aa18,IC_1,0.01,0.0,14,"['14', '2', '21', '24', '29', '3', '32', '33', '35', '41', '44', '45', '5', '8']"
aa18,IC_1,0.1,0.0,14,"['1', '14', '2', '21', '24', '29', '32', '33', '35', '41', '44', '45', '46', '8']"
aa19,IC_1,0.01,0.01,22,"['10', '23', '24', '25', '35', '36', '37', '38', '49', '56', '60', '47', '20', '27', '9', '31', '32', '4', '21', '26', '41', '39']"
aa19,IC_1,0.1,0.1,21,"['10', '23', '24', '25', '35', '36', '37', '38', '47', '49', '56', '60', '9', '20', '27', '4', '31', '32', '41', '21', '26']"
aa20,IC_1,0.01,0.01,24,"['11', '16', '25', '36', '39', '44', '45', '47', '48', '5', '14', '9', '52', '32', '34', '41', '21', '29', '43', '8', '55', '31', '40', '53']"
aa20,IC_1,0.1,0.1,20,"['14', '16', '25', '26', '28', '30', '36', '39', '41', '44', '45', '47', '5', '50', '52', '53', '55', '43', '9', '33']"
aa21,IC_1,0.01,0.0,0,[]
aa21,IC_1,0.1,0.0,0,[]
aa22,IC_1,0.01,0.01,17,"['0', '1', '14', '21', '22', '27', '28', '31', '32', '36', '41', '46', '47', '23', '30', '11', '2']"
aa22,IC_1,0.1,0.1,16,"['0', '1', '11', '14', '2', '21', '22', '23', '27', '28', '31', '32', '36', '41', '46', '47']"
aa23,IC_1,0.01,0.01,21,"['10', '13', '16', '23', '29', '33', '36', '38', '39', '44', '5', '51', '7', '9', '30', '31', '41', '17', '28', '42', '40']"
aa23,IC_1,0.1,0.0,18,"['11', '13', '16', '18', '21', '23', '29', '31', '33', '38', '40', '41', '42', '44', '5', '51', '6', '9']"
aa24,IC_1,0.01,0.01,27,"['13', '16', '20', '34', '53', '55', '56', '64', '69', '71', '76', '3', '30', '70', '12', '21', '77', '61', '60', '29', '35', '58', '2', '36', '9', '37', '49']"
aa24,IC_1,0.1,0.1,24,"['12', '13', '2', '21', '30', '31', '32', '33', '35', '37', '55', '61', '63', '70', '76', '16', '29', '49', '73', '72', '3', '36', '69', '20']"
aa25,IC_1,0.01,0.0,0,[]
aa25,IC_1,0.1,0.0,0,[]
aa26,IC_1,0.01,0.0,12,"['1', '19', '21', '22', '25', '29', '30', '31', '33', '35', '38', '5']"
aa26,IC_1,0.1,0.0,12,"['1', '19', '21', '22', '25', '29', '30', '31', '33', '35', '38', '5']"
aa27,IC_1,0.01,0.0,11,"['0', '17', '18', '20', '23', '27', '28', '30', '31', '40', '9']"
aa27,IC_1,0.1,0.0,11,"['0', '11', '17', '20', '23', '27', '30', '31', '43', '6', '9']"
aa28,IC_1,0.01,0.01,32,"['13', '15', '18', '24', '25', '28', '3', '30', '31', '40', '46', '54', '56', '58', '64', '9', '14', '2', '59', '52', '51', '23', '60', '49', '17', '33', '6', '36', '37', '32', '11', '41']"
aa28,IC_1,0.1,0.1,29,"['11', '13', '14', '15', '17', '18', '2', '24', '25', '28', '30', '31', '32', '45', '46', '51', '56', '58', '59', '6', '60', '64', '36', '54', '141', '37', '9', '40', '41']"
aa29,IC_1,0.01,0.01,26,"['10', '14', '25', '29', '33', '36', '38', '42', '54', '55', '66', '68', '26', '67', '15', '20', '7', '61', '6', '21', '4', '58', '17', '40', '46', '45']"
aa29,IC_1,0.1,0.1,24,"['10', '189', '21', '24', '25', '32', '36', '38', '39', '42', '45', '50', '54', '55', '58', '6', '61', '17', '233', '43', '68', '66', '241', '40']"
aa30,IC_1,0.01,0.0,4,"['11', '2', '4', '7']"
aa30,IC_1,0.1,0.0,4,"['11', '2', '4', '7']"
aa31,IC_1,0.01,0.0,0,[]
aa31,IC_1,0.1,0.0,0,[]
aa32,IC_1,0.01,0.01,35,"['11', '17', '21', '25', '29', '32', '4', '43', '48', '49', '59', '60', '61', '9', '23', '24', '52', '12', '20', '55', '46', '45', '22', '57', '7', '16', '36', '56', '37', '39', '33', '1', '41', '44', '54']"
aa32,IC_1,0.1,0.1,35,"['1', '14', '15', '19', '20', '21', '25', '29', '32', '4', '44', '46', '51', '55', '56', '57', '59', '60', '11', '16', '58', '49', '48', '18', '63', '9', '13', '36', '61', '38', '39', '34', '0', '43', '47']"
aa33,IC_1,0.01,0.0,4,"['24', '32', '33', '35']"
aa33,IC_1,0.1,0.0,4,"['24', '32', '33', '35']"
aa34,IC_1,0.01,0.0,13,"['11', '13', '14', '16', '19', '20', '21', '3', '31', '35', '36', '37', '5']"
aa34,IC_1,0.1,0.0,13,"['11', '13', '14', '16', '19', '20', '21', '28', '3', '31', '35', '36', '5']"
aa35,IC_1,0.01,0.0,10,"['0', '13', '14', '20', '21', '24', '3', '30', '32', '37']"
aa35,IC_1,0.1,0.0,10,"['0', '13', '14', '20', '21', '24', '3', '30', '32', '37']"
aa36,IC_1,0.01,0.0,7,"['10', '14', '15', '16', '21', '31', '8']"
aa36,IC_1,0.1,0.0,7,"['10', '17', '18', '29', '31', '32', '8']"
aa37,IC_1,0.01,0.0,4,"['1', '20', '4', '5']"
aa37,IC_1,0.1,0.0,4,"['1', '20', '4', '5']"
aa38,IC_1,0.01,0.01,31,"['0', '16', '18', '22', '26', '29', '35', '47', '48', '49', '5', '50', '52', '60', '62', '65', '3', '63', '21', '27', '66', '6', '56', '28', '38', '53', '25', '39', '7', '41', '42']"
aa38,IC_1,0.1,0.1,27,"['0', '16', '18', '21', '25', '26', '35', '38', '39', '41', '42', '47', '5', '50', '52', '56', '6', '60', '65', '7', '64', '63', '29', '48', '62', '22', '49']"
aa39,IC_1,0.01,0.01,27,"['10', '11', '17', '18', '23', '24', '27', '28', '57', '6', '9', '56', '48', '21', '22', '7', '13', '19', '30', '52', '50', '20', '29', '5', '15', '3', '31']"
aa39,IC_1,0.1,0.1,26,"['10', '11', '17', '18', '22', '23', '24', '27', '28', '48', '56', '57', '6', '7', '9', '13', '19', '30', '52', '50', '20', '29', '5', '15', '3', '31']"
aa40,IC_1,0.01,0.01,28,"['0', '17', '30', '32', '33', '41', '44', '45', '46', '6', '34', '40', '11', '56', '47', '27', '28', '7', '12', '25', '4', '52', '50', '26', '37', '48', '19', '38']"
aa40,IC_1,0.1,0.1,23,"['17', '18', '26', '27', '28', '33', '37', '41', '44', '45', '46', '52', '55', '56', '58', '59', '8', '40', '48', '2', '32', '50', '47']"
aa41,IC_1,0.01,0.01,46,"['11', '29', '44', '45', '50', '53', '6', '63', '7', '71', '87', '41', '18', '2', '51', '10', '14', '56', '48', '47', '64', '58', '62', '12', '33', '8', '83', '74', '30', '76', '39', '46', '54', '15', '57', '68', '49', '20', '72', '86', '0', '66', '13', '35', '36', '1']"
aa41,IC_1,0.1,0.1,45,"['11', '13', '17', '2', '27', '28', '29', '41', '45', '46', '51', '54', '61', '62', '66', '72', '76', '87', '57', '49', '48', '68', '6', '63', '14', '36', '86', '88', '81', '35', '83', '44', '47', '56', '18', '58', '71', '50', '26', '8', '39', '10', '7', '15', '37']"
aa42,IC_1,0.01,0.01,35,"['10', '16', '20', '24', '25', '33', '47', '5', '50', '61', '65', '79', '80', '85', '23', '66', '11', '17', '74', '59', '58', '87', '78', '81', '15', '34', '75', '36', '38', '32', '1', '49', '56', '69', '18']"
aa42,IC_1,0.1,0.1,33,"['10', '11', '16', '20', '23', '24', '25', '33', '47', '5', '50', '58', '59', '61', '65', '66', '74', '78', '79', '80', '85', '81', '15', '34', '75', '36', '38', '32', '1', '49', '56', '69', '18']"
aa43,IC_1,0.01,0.01,19,"['1', '10', '16', '2', '21', '22', '27', '28', '30', '31', '32', '38', '39', '4', '5', '8', '36', '12', '20']"
aa43,IC_1,0.1,0.0,19,"['10', '13', '14', '16', '17', '2', '20', '21', '22', '25', '27', '28', '31', '32', '36', '38', '4', '7', '8']"
aa44,IC_1,0.01,0.0,10,"['0', '16', '18', '21', '23', '25', '27', '29', '30', '4']"
aa44,IC_1,0.1,0.0,10,"['0', '16', '22', '23', '25', '26', '27', '29', '30', '4']"
aa45,IC_1,0.01,0.01,22,"['1', '12', '2', '20', '21', '24', '26', '27', '29', '34', '35', '36', '4', '40', '6', '25', '32', '11', '22', '33', '30', '23']"
aa45,IC_1,0.1,0.1,22,"['10', '11', '15', '19', '2', '20', '24', '26', '29', '3', '33', '35', '36', '41', '42', '5', '7', '39', '13', '21', '4', '38']"
aa46,IC_1,0.01,0.01,13,"['0', '1', '13', '14', '16', '19', '2', '22', '26', '3', '45', '54', '56']"
aa46,IC_1,0.1,0.0,13,"['0', '1', '13', '14', '16', '19', '2', '22', '26', '3', '45', '54', '56']"
aa47,IC_1,0.01,0.0,13,"['16', '17', '18', '2', '20', '25', '28', '29', '30', '32', '33', '5', '6']"
aa47,IC_1,0.1,0.0,13,"['16', '17', '18', '2', '20', '25', '28', '29', '30', '32', '33', '5', '6']"
aa48,IC_1,0.01,0.01,18,"['0', '1', '15', '16', '17', '18', '25', '26', '27', '30', '37', '9', '19', '33', '23', '24', '34', '14']"
aa48,IC_1,0.1,0.1,17,"['0', '1', '15', '16', '17', '18', '19', '20', '23', '27', '33', '34', '37', '38', '40', '6', '9']"
aa49,IC_1,0.01,0.0,0,[]
aa49,IC_1,0.1,0.0,0,[]
aa50,IC_1,0.01,0.01,19,"['11', '18', '22', '23', '29', '31', '35', '39', '49', '5', '53', '58', '59', '7', '8', '33', '52', '17', '24']"
aa50,IC_1,0.1,0.1,18,"['11', '18', '22', '23', '24', '29', '31', '33', '35', '39', '49', '5', '52', '53', '58', '59', '7', '8']"
aa51,IC_1,0.01,0.0,11,"['1', '11', '17', '24', '3', '35', '41', '42', '6', '7', '9']"
aa51,IC_1,0.1,0.0,11,"['11', '17', '24', '3', '35', '41', '42', '43', '6', '7', '9']"
aa52,IC_1,0.01,0.0,12,"['0', '1', '11', '12', '17', '18', '21', '24', '25', '29', '3', '30']"
aa52,IC_1,0.1,0.0,12,"['0', '1', '11', '12', '17', '18', '21', '24', '25', '29', '3', '30']"
aa53,IC_1,0.01,0.01,12,"['12', '2', '24', '26', '27', '3', '31', '33', '34', '38', '40', '42']"
aa53,IC_1,0.1,0.0,12,"['16', '24', '26', '27', '3', '31', '33', '34', '36', '38', '40', '42']"
aa54,IC_1,0.01,0.01,12,"['12', '15', '16', '18', '19', '20', '26', '29', '31', '35', '40', '42']"
aa54,IC_1,0.1,0.0,12,"['12', '15', '16', '18', '19', '20', '26', '29', '31', '35', '40', '42']"
j10,IC_1,0.01,0.0,3,"['0', '5', '8']"
j10,IC_1,0.1,0.0,3,"['0', '5', '8']"
j11,IC_1,0.01,0.0,5,"['17', '18', '19', '24', '25']"
j11,IC_1,0.1,0.0,5,"['17', '18', '19', '24', '25']"
j13,IC_1,0.01,0.0,4,"['17', '24', '29', '5']"
j13,IC_1,0.1,0.0,4,"['17', '24', '29', '5']"
j14,IC_1,0.01,0.0,3,"['1', '14', '15']"
j14,IC_1,0.1,0.0,3,"['1', '14', '15']"
j15,IC_1,0.01,0.0,0,[]
j15,IC_1,0.1,0.0,0,[]
j16,IC_1,0.01,0.0,0,[]
j16,IC_1,0.1,0.0,0,[]
j17,IC_1,0.01,0.0,10,"['11', '15', '2', '21', '23', '25', '27', '4', '8', '9']"
j17,IC_1,0.1,0.0,10,"['11', '14', '15', '21', '25', '27', '3', '4', '8', '9']"
j18,IC_1,0.01,0.0,10,"['10', '11', '12', '2', '29', '45', '47', '6', '7', '9']"
j18,IC_1,0.1,0.0,10,"['10', '11', '12', '2', '29', '45', '47', '6', '7', '9']"
j19,IC_1,0.01,0.0,3,"['10', '11', '14']"
j19,IC_1,0.1,0.0,3,"['10', '11', '14']"
j20,IC_1,0.01,0.0,0,[]
j20,IC_1,0.1,0.0,0,[]
j21,IC_1,0.01,0.0,2,"['4', '7']"
j21,IC_1,0.1,0.0,2,"['4', '7']"
j22,IC_1,0.01,0.0,9,"['26', '35', '37', '38', '39', '40', '41', '43', '44']"
j22,IC_1,0.1,0.0,9,"['26', '35', '37', '38', '39', '40', '41', '43', '44']"
j23,IC_1,0.01,0.01,19,"['1', '15', '2', '20', '21', '26', '33', '38', '39', '41', '5', '9', '8', '14', '3', '42', '30', '31', '49']"
j23,IC_1,0.1,0.1,19,"['1', '14', '15', '2', '20', '21', '26', '3', '30', '31', '33', '38', '39', '41', '42', '5', '8', '9', '49']"
j24,IC_1,0.01,0.0,3,"['20', '35', '40']"
j24,IC_1,0.1,0.0,3,"['20', '35', '40']"
j25,IC_1,0.01,0.0,0,[]
j25,IC_1,0.1,0.0,0,[]
j26,IC_1,0.01,0.0,6,"['21', '24', '27', '3', '4', '5']"
j26,IC_1,0.1,0.0,6,"['21', '24', '27', '3', '4', '5']"
j28,IC_1,0.01,0.01,16,"['10', '38', '39', '40', '42', '43', '44', '5', '52', '8', '9', '20', '22', '41', '12', '18']"
j28,IC_1,0.1,0.1,13,"['10', '12', '38', '39', '40', '41', '42', '43', '44', '5', '52', '8', '9']"
gka_1,IC_1,0.01,0.0,9,"['15', '22', '23', '3', '38', '4', '43', '7', '9']"
gka_1,IC_1,0.1,0.0,9,"['15', '22', '23', '3', '38', '4', '43', '7', '9']"
gka_2,IC_1,0.01,0.01,16,"['15', '2', '22', '27', '3', '30', '33', '38', '44', '9', '36', '51', '35', '19', '31', '56']"
gka_2,IC_1,0.1,0.1,16,"['15', '2', '22', '27', '3', '30', '33', '35', '36', '38', '44', '51', '9', '19', '31', '56']"
gka_3,IC_1,0.01,0.01,24,"['1', '19', '22', '24', '45', '46', '56', '57', '59', '61', '43', '47', '54', '16', '7', '64', '38', '41', '51', '18', '29', '52', '49', '35']"
gka_3,IC_1,0.1,0.1,24,"['1', '19', '22', '24', '43', '45', '46', '47', '56', '57', '59', '61', '54', '16', '7', '64', '38', '41', '51', '18', '29', '52', '49', '35']"
gka_4,IC_1,0.01,0.01,31,"['1', '13', '15', '28', '36', '49', '57', '59', '62', '76', '24', '37', '8', '10', '72', '63', '2', '22', '78', '11', '17', '9', '69', '67', '19', '38', '65', '14', '39', '43', '40']"
gka_4,IC_1,0.1,0.1,30,"['10', '19', '22', '37', '40', '43', '46', '57', '61', '62', '65', '72', '9', '15', '71', '67', '30', '36', '76', '17', '24', '50', '70', '69', '28', '49', '68', '2', '5', '53']"
gka_5,IC_1,0.01,0.01,22,"['0', '13', '14', '16', '28', '35', '38', '40', '47', '48', '49', '6', '46', '11', '22', '42', '25', '26', '43', '12', '21', '44']"
gka_5,IC_1,0.1,0.1,22,"['0', '11', '13', '14', '16', '22', '28', '35', '38', '40', '42', '46', '47', '48', '49', '6', '25', '26', '43', '12', '21', '44']"
gka_6,IC_1,0.01,0.01,16,"['0', '15', '16', '17', '18', '19', '2', '22', '23', '24', '25', '28', '4', '5', '9', '6']"
gka_6,IC_1,0.1,0.0,16,"['0', '15', '16', '17', '18', '19', '2', '22', '23', '24', '25', '28', '4', '5', '6', '9']"
gka_7,IC_1,0.01,0.0,18,"['0', '1', '11', '12', '13', '14', '15', '2', '21', '23', '24', '27', '28', '29', '5', '6', '8', '9']"
gka_7,IC_1,0.1,0.0,18,"['0', '1', '11', '12', '13', '14', '15', '2', '21', '23', '24', '27', '28', '29', '5', '6', '8', '9']"
gka_8,IC_1,0.01,0.01,33,"['15', '22', '24', '4', '40', '59', '60', '63', '71', '90', '37', '41', '94', '19', '89', '8', '28', '30', '92', '20', '25', '95', '86', '85', '27', '98', '80', '23', '55', '97', '56', '57', '54']"
gka_8,IC_1,0.1,0.1,33,"['15', '22', '24', '37', '4', '40', '41', '59', '60', '63', '71', '90', '94', '19', '89', '8', '28', '30', '92', '20', '25', '95', '86', '85', '27', '98', '80', '23', '55', '97', '56', '57', '54']"
gka_9,IC_1,0.01,0.0,2,"['4', '5']"
gka_9,IC_1,0.1,0.0,2,"['4', '5']"
gka_10,IC_1,0.01,0.0,8,"['0', '10', '11', '3', '4', '6', '8', '9']"
gka_10,IC_1,0.1,0.0,8,"['0', '10', '11', '3', '4', '6', '8', '9']"
gka_11,IC_1,0.01,0.0,10,"['0', '1', '10', '12', '2', '4', '5', '6', '7', '8']"
gka_11,IC_1,0.1,0.0,10,"['0', '1', '10', '12', '2', '4', '5', '6', '7', '8']"
gka_12,IC_1,0.01,0.0,20,"['0', '1', '10', '11', '12', '13', '14', '16', '17', '18', '19', '20', '21', '22', '23', '3', '4', '5', '6', '7']"
gka_12,IC_1,0.1,0.0,20,"['0', '1', '10', '11', '12', '13', '14', '16', '17', '18', '19', '20', '21', '22', '23', '3', '4', '5', '6', '7']"
gka_13,IC_1,0.01,0.0,16,"['0', '1', '10', '11', '12', '14', '16', '17', '18', '2', '3', '4', '5', '6', '8', '9']"
gka_13,IC_1,0.1,0.0,16,"['0', '1', '10', '11', '12', '14', '16', '17', '18', '2', '3', '4', '5', '6', '8', '9']"
gka_14,IC_1,0.01,0.0,22,"['0', '1', '10', '11', '12', '13', '15', '16', '17', '18', '2', '21', '22', '23', '24', '25', '4', '5', '6', '7', '8', '9']"
gka_14,IC_1,0.1,0.0,22,"['0', '1', '10', '11', '12', '13', '15', '16', '17', '18', '2', '21', '22', '23', '24', '25', '4', '5', '6', '7', '8', '9']"
gka_15,IC_1,0.01,0.0,0,[]
gka_15,IC_1,0.1,0.0,0,[]
gka_16,IC_1,0.01,0.0,0,[]
gka_16,IC_1,0.1,0.0,0,[]
gka_17,IC_1,0.01,0.0,0,[]
gka_17,IC_1,0.1,0.0,0,[]
gka_18,IC_1,0.01,0.0,2,"['0', '6']"
gka_18,IC_1,0.1,0.0,2,"['0', '6']"
gka_19,IC_1,0.01,0.01,31,"['0', '1', '12', '13', '14', '15', '17', '18', '2', '21', '22', '24', '25', '26', '27', '28', '29', '3', '30', '32', '33', '34', '35', '36', '38', '4', '5', '6', '7', '8', '9']"
gka_19,IC_1,0.1,0.0,31,"['0', '1', '12', '13', '14', '15', '17', '18', '2', '21', '22', '24', '25', '26', '27', '28', '29', '3', '30', '32', '33', '34', '35', '36', '38', '4', '5', '6', '7', '8', '9']"
gka_20,IC_1,0.01,0.01,39,"['10', '11', '12', '14', '15', '17', '18', '2', '20', '22', '23', '29', '3', '32', '34', '36', '37', '38', '4', '40', '42', '47', '48', '6', '8', '46', '49', '13', '26', '9', '27', '28', '24', '1', '31', '35', '41', '16', '44']"
gka_20,IC_1,0.1,0.1,39,"['10', '11', '12', '13', '14', '15', '17', '18', '2', '20', '22', '23', '24', '26', '27', '28', '29', '3', '32', '34', '36', '37', '38', '4', '40', '42', '46', '47', '48', '49', '6', '8', '9', '1', '31', '35', '41', '16', '44']"
gka_21,IC_1,0.01,0.01,42,"['1', '11', '17', '20', '24', '25', '27', '34', '35', '37', '39', '52', '53', '56', '7', '8', '21', '46', '10', '18', '48', '43', '42', '58', '50', '54', '16', '29', '59', '30', '33', '28', '0', '36', '41', '47', '2', '49', '6', '44', '22', '9']"
gka_21,IC_1,0.1,0.1,42,"['1', '16', '18', '22', '24', '27', '28', '29', '36', '38', '40', '41', '46', '47', '53', '54', '58', '8', '9', '11', '2', '49', '44', '43', '59', '52', '56', '17', '33', '6', '34', '35', '30', '0', '39', '42', '48', '20', '50', '7', '45', '25']"
gka_22,IC_1,0.01,0.01,46,"['11', '16', '21', '22', '24', '30', '31', '34', '42', '51', '52', '57', '64', '1', '62', '35', '19', '2', '44', '10', '17', '49', '38', '37', '59', '50', '54', '15', '28', '8', '29', '67', '25', '68', '33', '36', '46', '18', '5', '61', '41', '20', '66', '3', '0', '60']"
gka_22,IC_1,0.1,0.1,46,"['1', '11', '16', '19', '2', '21', '22', '24', '30', '31', '34', '35', '42', '44', '51', '52', '57', '62', '64', '10', '17', '49', '38', '37', '59', '50', '54', '15', '28', '8', '29', '67', '25', '68', '33', '36', '46', '18', '5', '61', '41', '20', '66', '3', '0', '60']"
