Solver,Threads,Memory,Formulation,Dataset,Vertices,Edges,Time,Opt,Certificate
CPLEX,1,4,OCT,gka_1,44,90,0.5,9,"['30', '12', '39', '14', '4', '15', '32', '40', '43']"
CPLEX,1,4,VC,gka_1,44,90,0.1,9,"['43', '25', '7', '23', '12', '3', '15', '4', '9']"
CPLEX,1,4,OCT,aa43,58,303,8.2,18,"['16', '30', '31', '39', '2', '10', '38', '8', '28', '21', '4', '22', '20', '32', '1', '5', '27', '36']"
CPLEX,1,4,VC,aa43,58,303,0.1,18,"['8', '16', '31', '38', '28', '22', '1', '5', '27', '10', '30', '39', '4', '20', '32', '2', '21', '36']"
CPLEX,1,4,OCT,aa45,75,381,33.0,20,"['11', '17', '23', '12', '2', '22', '24', '20', '38', '3', '21', '33', '34', '4', '29', '37', '35', '42', '6', '36']"
CPLEX,1,4,VC,aa45,75,381,0.1,20,"['24', '29', '2', '38', '11', '33', '22', '35', '42', '23', '12', '3', '36', '4', '17', '6', '20', '34', '21', '37']"
CPLEX,1,4,OCT,gka_2,58,149,34.0,16,"['19', '30', '23', '48', '10', '31', '2', '41', '38', '28', '33', '34', '29', '47', '9', '36']"
CPLEX,1,4,VC,gka_2,58,149,0.4,16,"['53', '29', '52', '48', '31', '38', '28', '33', '40', '47', '19', '10', '23', '32', '2', '6']"
CPLEX,1,4,OCT,aa29,265,1048,21.7,21,"['7', '17', '38', '33', '29', '42', '14', '58', '15', '21', '6', '55', '25', '10', '54', '45', '40', '20', '66', '36', '68']"
CPLEX,1,4,VC,aa29,265,1048,0.4,21,"['17', '33', '42', '21', '20', '7', '5', '10', '54', '13', '6', '38', '29', '66', '14', '15', '58', '45', '25', '68', '36']"
CPLEX,1,4,OCT,aa42,226,1100,600.0,30,"['16', '24', '61', '66', '78', '80', '69', '59', '58', '32', '85', '77', '18', '81', '74', '75', '11', '28', '162', '47', '35', '1', '5', '79', '10', '49', '50', '65', '84', '33']"
CPLEX,1,4,VC,aa42,226,1100,1.2,30,"['24', '33', '61', '78', '80', '69', '85', '20', '56', '47', '1', '5', '10', '50', '65', '16', '38', '18', '81', '58', '32', '75', '66', '74', '25', '79', '11', '49', '77', '59']"
CPLEX,1,4,OCT,gka_3,70,223,600.0,23,"['26', '19', '10', '69', '64', '49', '52', '23', '54', '36', '46', '38', '3', '11', '56', '25', '29', '55', '15', '9', '65', '5', '20']"
CPLEX,1,4,VC,gka_3,70,223,4.5,23,"['24', '16', '29', '64', '52', '48', '46', '11', '56', '22', '47', '35', '1', '61', '27', '66', '19', '45', '57', '41', '69', '59', '43']"
CPLEX,1,4,OCT,aa32,126,733,600.0,30,"['24', '26', '16', '55', '52', '39', '9', '57', '11', '56', '33', '25', '7', '35', '1', '59', '27', '19', '30', '23', '45', '14', '60', '4', '6', '0', '32', '21', '20', '36']"
CPLEX,1,4,VC,aa32,126,733,1.2,30,"['48', '22', '38', '57', '33', '59', '18', '51', '42', '23', '44', '41', '60', '4', '9', '32', '43', '21', '55', '52', '11', '56', '47', '1', '49', '45', '6', '34', '65', '36']"
CPLEX,1,4,OCT,aa41,261,1585,600.0,40,"['8', '7', '48', '26', '2', '46', '57', '41', '86', '29', '76', '61', '27', '51', '71', '63', '14', '58', '6', '18', '87', '66', '74', '72', '11', '28', '56', '47', '83', '35', '62', '10', '30', '13', '49', '44', '50', '45', '15', '68']"
CPLEX,1,4,VC,aa41,261,1585,1.6,40,"['8', '48', '46', '61', '62', '28', '56', '7', '47', '86', '83', '10', '30', '50', '13', '6', '2', '41', '29', '26', '27', '18', '14', '15', '58', '72', '87', '66', '74', '51', '45', '35', '44', '11', '49', '57', '63', '71', '76', '68']"
CPLEX,1,4,OCT,gka_24,90,400,600.0,38,"['87', '55', '81', '19', '75', '24', '72', '45', '38', '28', '56', '33', '40', '7', '22', '47', '83', '42', '61', '59', '27', '18', '51', '62', '30', '54', '73', '69', '15', '60', '4', '58', '34', '21', '84', '67', '68', '36']"
CPLEX,1,4,VC,gka_24,90,400,101.3,37,"['16', '39', '33', '61', '27', '18', '51', '42', '23', '78', '73', '69', '59', '4', '43', '21', '81', '74', '75', '67', '72', '28', '56', '25', '34', '47', '86', '83', '35', '19', '62', '54', '68', '45', '84', '0', '36']"
CPLEX,1,4,OCT,gka_26,100,494,600.0,43,"['64', '97', '55', '48', '26', '10', '81', '74', '72', '46', '45', '38', '11', '28', '25', '40', '70', '7', '22', '99', '35', '1', '42', '59', '96', '79', '95', '23', '12', '78', '71', '44', '50', '13', '14', '93', '6', '43', '34', '82', '21', '20', '68']"
CPLEX,1,4,VC,gka_26,100,494,55.5,43,"['7', '48', '26', '46', '38', '94', '22', '23', '12', '78', '71', '63', '14', '69', '59', '60', '43', '82', '21', '20', '64', '97', '55', '81', '74', '67', '95', '40', '47', '99', '35', '79', '10', '70', '13', '54', '50', '45', '57', '25', '93', '15', '36']"
CPLEX,1,4,OCT,gka_25,100,495,600.0,44,"['53', '16', '87', '17', '52', '48', '31', '81', '74', '51', '75', '2', '46', '45', '99', '11', '56', '94', '29', '47', '86', '83', '5', '88', '85', '98', '27', '97', '12', '50', '13', '41', '15', '89', '37', '32', '96', '34', '77', '21', '84', '6', '67', '68']"
CPLEX,1,4,VC,gka_25,100,495,300.7,42,"['53', '17', '48', '39', '2', '38', '94', '88', '27', '12', '41', '60', '85', '21', '87', '52', '31', '81', '74', '75', '67', '9', '11', '28', '56', '37', '47', '86', '99', '83', '5', '96', '79', '19', '13', '68', '45', '84', '33', '15', '6', '34']"
CPLEX,1,4,OCT,gka_29,100,2000,600.0,80,"['24', '16', '64', '17', '55', '48', '8', '10', '31', '39', '19', '75', '91', '72', '46', '45', '99', '11', '28', '56', '33', '25', '40', '94', '70', '98', '7', '47', '38', '83', '1', '42', '5', '61', '88', '59', '13', '27', '18', '79', '66', '51', '95', '90', '97', '92', '23', '12', '78', '44', '50', '84', '63', '73', '41', '76', '14', '3', '69', '15', '93', '60', '81', '49', '77', '4', '6', '58', '9', '37', '32', '2', '96', '34', '65', '82', '21', '20', '67', '36']"
CPLEX,1,4,VC,gka_29,100,2000,464.1,77,"['53', '8', '16', '7', '17', '48', '26', '39', '2', '24', '38', '29', '22', '76', '61', '88', '27', '66', '51', '90', '42', '23', '12', '78', '71', '63', '80', '41', '14', '3', '69', '59', '4', '58', '32', '43', '85', '77', '82', '21', '20', '91', '64', '97', '55', '81', '74', '75', '67', '72', '28', '40', '86', '99', '83', '35', '1', '5', '79', '19', '62', '10', '70', '92', '49', '13', '54', '44', '50', '65', '45', '84', '33', '93', '15', '6', '34']"
CPLEX,1,4,OCT,gka_27,100,1016,600.0,62,"['53', '91', '16', '29', '17', '52', '48', '26', '31', '81', '74', '51', '2', '0', '24', '72', '45', '99', '11', '28', '56', '33', '34', '94', '30', '22', '47', '38', '83', '35', '42', '61', '88', '59', '85', '66', '19', '95', '90', '70', '92', '54', '78', '44', '50', '73', '57', '41', '15', '93', '49', '89', '6', '58', '9', '37', '32', '40', '82', '21', '68', '36']"
CPLEX,1,4,VC,gka_27,100,1016,446.1,62,"['53', '16', '17', '48', '26', '2', '46', '29', '94', '22', '76', '61', '66', '51', '42', '78', '63', '41', '14', '59', '89', '58', '32', '85', '82', '21', '91', '87', '52', '31', '81', '74', '9', '72', '11', '28', '56', '37', '30', '47', '83', '35', '19', '10', '70', '92', '49', '13', '54', '44', '68', '50', '65', '45', '84', '57', '25', '15', '0', '6', '34', '36']"
CPLEX,1,4,OCT,gka_28,100,1425,600.0,72,"['53', '26', '16', '87', '17', '55', '48', '81', '74', '19', '75', '43', '0', '91', '46', '28', '56', '33', '25', '40', '30', '98', '7', '22', '47', '99', '83', '1', '42', '59', '85', '13', '27', '18', '66', '51', '62', '10', '70', '97', '92', '95', '54', '23', '12', '71', '44', '84', '63', '73', '57', '41', '76', '3', '69', '93', '60', '80', '49', '4', '9', '37', '32', '2', '96', '34', '77', '82', '21', '6', '67', '68']"
CPLEX,1,4,VC,gka_28,100,1425,429.6,70,"['53', '8', '16', '17', '48', '26', '2', '24', '38', '94', '22', '76', '27', '18', '66', '51', '90', '42', '12', '71', '63', '80', '73', '60', '89', '4', '58', '43', '85', '77', '82', '21', '91', '97', '55', '74', '75', '67', '9', '95', '28', '40', '47', '86', '99', '83', '35', '5', '96', '98', '79', '19', '62', '70', '92', '54', '44', '68', '50', '65', '45', '57', '33', '25', '93', '15', '0', '6', '34', '36']"
CPLEX,1,16384,OCT,gka_1,44,90,0.5,9,"['30', '12', '39', '14', '4', '15', '32', '40', '43']"
CPLEX,1,16384,VC,gka_1,44,90,0.1,9,"['43', '25', '7', '23', '12', '3', '15', '4', '9']"
CPLEX,1,16384,OCT,aa43,58,303,8.2,18,"['16', '30', '31', '39', '2', '10', '38', '8', '28', '21', '4', '22', '20', '32', '1', '5', '27', '36']"
CPLEX,1,16384,VC,aa43,58,303,0.1,18,"['8', '16', '31', '38', '28', '22', '1', '5', '27', '10', '30', '39', '4', '20', '32', '2', '21', '36']"
CPLEX,1,16384,OCT,aa45,75,381,36.0,20,"['11', '30', '17', '23', '12', '2', '22', '24', '20', '38', '3', '21', '33', '34', '4', '29', '35', '42', '6', '36']"
CPLEX,1,16384,VC,aa45,75,381,0.1,20,"['24', '29', '2', '38', '11', '33', '22', '35', '42', '23', '12', '3', '36', '4', '17', '6', '20', '34', '21', '37']"
CPLEX,1,16384,OCT,gka_2,58,149,33.9,16,"['19', '30', '23', '48', '10', '31', '2', '41', '38', '28', '33', '34', '29', '47', '9', '36']"
CPLEX,1,16384,VC,gka_2,58,149,0.4,16,"['53', '29', '52', '48', '31', '38', '28', '33', '40', '47', '19', '10', '23', '32', '2', '6']"
CPLEX,1,16384,OCT,aa29,265,1048,21.6,21,"['7', '17', '38', '33', '29', '42', '14', '58', '15', '21', '6', '55', '25', '10', '54', '45', '40', '20', '66', '36', '68']"
CPLEX,1,16384,VC,aa29,265,1048,0.4,21,"['17', '33', '42', '21', '20', '7', '5', '10', '54', '13', '6', '38', '29', '66', '14', '15', '58', '45', '25', '68', '36']"
CPLEX,1,16384,OCT,aa42,226,1100,396.5,30,"['16', '24', '61', '66', '78', '80', '69', '59', '58', '32', '85', '77', '18', '81', '74', '75', '11', '28', '162', '47', '35', '1', '5', '79', '10', '49', '50', '65', '84', '33']"
CPLEX,1,16384,VC,aa42,226,1100,1.2,30,"['24', '33', '61', '78', '80', '69', '85', '20', '56', '47', '1', '5', '10', '50', '65', '16', '38', '18', '81', '58', '32', '75', '66', '74', '25', '79', '11', '49', '77', '59']"
CPLEX,1,16384,OCT,gka_3,70,223,600.0,23,"['26', '19', '10', '69', '64', '49', '52', '23', '54', '36', '46', '38', '3', '11', '56', '25', '29', '55', '15', '9', '65', '5', '20']"
CPLEX,1,16384,VC,gka_3,70,223,4.5,23,"['24', '16', '29', '64', '52', '48', '46', '11', '56', '22', '47', '35', '1', '61', '27', '66', '19', '45', '57', '41', '69', '59', '43']"
CPLEX,1,16384,OCT,aa32,126,733,600.0,30,"['24', '16', '55', '52', '39', '9', '57', '11', '56', '33', '25', '35', '1', '59', '27', '18', '19', '30', '54', '23', '45', '14', '60', '49', '4', '0', '32', '21', '20', '36']"
CPLEX,1,16384,VC,aa32,126,733,1.2,30,"['48', '22', '38', '57', '33', '59', '18', '51', '42', '23', '44', '41', '60', '4', '9', '32', '43', '21', '55', '52', '11', '56', '47', '1', '49', '45', '6', '34', '65', '36']"
CPLEX,1,16384,OCT,aa41,261,1585,600.0,40,"['8', '7', '48', '26', '2', '46', '57', '41', '86', '29', '76', '61', '27', '51', '71', '63', '14', '58', '6', '18', '87', '66', '74', '72', '11', '28', '56', '47', '83', '35', '62', '10', '30', '13', '49', '44', '50', '45', '15', '68']"
CPLEX,1,16384,VC,aa41,261,1585,1.6,40,"['8', '48', '46', '61', '62', '28', '56', '7', '47', '86', '83', '10', '30', '50', '13', '6', '2', '41', '29', '26', '27', '18', '14', '15', '58', '72', '87', '66', '74', '51', '45', '35', '44', '11', '49', '57', '63', '71', '76', '68']"
CPLEX,1,16384,OCT,gka_24,90,400,600.0,38,"['87', '55', '81', '19', '75', '24', '72', '45', '38', '28', '56', '33', '40', '7', '22', '47', '83', '42', '61', '59', '27', '18', '51', '62', '30', '54', '73', '69', '15', '60', '4', '58', '34', '21', '84', '67', '68', '36']"
CPLEX,1,16384,VC,gka_24,90,400,98.3,37,"['8', '16', '39', '46', '33', '61', '18', '51', '42', '78', '73', '3', '59', '4', '43', '82', '21', '74', '75', '67', '72', '28', '56', '25', '34', '86', '83', '35', '62', '70', '54', '68', '45', '84', '0', '20', '36']"
CPLEX,1,16384,OCT,gka_26,100,494,600.0,43,"['64', '97', '55', '48', '26', '10', '81', '74', '72', '46', '45', '38', '11', '28', '25', '40', '70', '7', '22', '99', '35', '1', '42', '59', '79', '95', '23', '12', '78', '71', '44', '50', '13', '63', '14', '93', '6', '43', '82', '21', '20', '68', '36']"
CPLEX,1,16384,VC,gka_26,100,494,55.2,43,"['7', '48', '26', '46', '38', '94', '22', '23', '12', '78', '71', '63', '14', '69', '59', '60', '43', '82', '21', '20', '64', '97', '55', '81', '74', '67', '95', '40', '47', '99', '35', '79', '10', '70', '13', '54', '50', '45', '57', '25', '93', '15', '36']"
CPLEX,1,16384,OCT,gka_25,100,495,600.0,42,"['53', '87', '17', '52', '48', '31', '81', '74', '75', '2', '45', '99', '11', '28', '56', '33', '94', '47', '38', '83', '5', '88', '85', '27', '18', '79', '19', '12', '13', '41', '15', '60', '39', '9', '37', '96', '34', '84', '6', '67', '68', '36']"
CPLEX,1,16384,VC,gka_25,100,495,200.6,42,"['53', '17', '48', '39', '2', '38', '94', '88', '27', '12', '41', '60', '85', '87', '52', '31', '81', '74', '75', '67', '9', '11', '28', '37', '47', '86', '99', '83', '1', '5', '96', '79', '19', '13', '68', '45', '84', '33', '15', '6', '34', '36']"
CPLEX,1,16384,OCT,gka_29,100,2000,600.0,79,"['24', '16', '29', '64', '17', '55', '52', '48', '8', '10', '31', '39', '19', '75', '43', '91', '72', '46', '45', '99', '28', '33', '25', '40', '94', '70', '7', '47', '38', '83', '1', '42', '5', '61', '88', '59', '13', '27', '18', '79', '66', '51', '62', '90', '97', '92', '23', '12', '78', '71', '44', '50', '84', '63', '41', '76', '14', '3', '69', '15', '93', '80', '81', '49', '89', '77', '4', '6', '58', '9', '32', '2', '96', '34', '65', '82', '21', '20', '67']"
CPLEX,1,16384,VC,gka_29,100,2000,423.1,77,"['53', '8', '16', '7', '17', '48', '26', '39', '2', '24', '38', '29', '22', '76', '61', '88', '27', '66', '51', '90', '42', '23', '12', '78', '71', '63', '80', '41', '14', '3', '69', '59', '4', '58', '32', '43', '85', '77', '82', '21', '91', '64', '97', '55', '81', '74', '75', '67', '72', '28', '40', '86', '99', '83', '35', '1', '5', '79', '19', '62', '10', '70', '92', '49', '13', '54', '44', '50', '65', '45', '84', '33', '25', '93', '15', '6', '34']"
CPLEX,1,16384,OCT,gka_27,100,1016,600.0,62,"['53', '91', '16', '29', '17', '52', '48', '26', '31', '81', '74', '51', '2', '0', '24', '72', '45', '99', '11', '28', '56', '33', '34', '94', '30', '22', '47', '38', '83', '35', '42', '61', '88', '59', '85', '66', '19', '95', '90', '70', '92', '54', '78', '44', '50', '73', '57', '41', '15', '93', '49', '89', '6', '58', '9', '37', '32', '40', '82', '21', '68', '36']"
CPLEX,1,16384,VC,gka_27,100,1016,445.6,62,"['53', '16', '17', '48', '26', '2', '46', '29', '94', '22', '76', '61', '66', '51', '42', '78', '63', '41', '14', '59', '89', '58', '32', '85', '82', '21', '91', '87', '52', '31', '81', '74', '9', '72', '11', '28', '56', '37', '30', '47', '83', '35', '19', '10', '70', '92', '49', '13', '54', '44', '68', '50', '65', '45', '84', '57', '25', '15', '0', '6', '34', '36']"
CPLEX,1,16384,OCT,gka_28,100,1425,600.0,72,"['53', '87', '17', '55', '52', '48', '31', '81', '74', '19', '75', '43', '0', '91', '45', '28', '56', '33', '25', '40', '30', '7', '22', '47', '99', '83', '1', '42', '59', '85', '13', '27', '18', '66', '51', '62', '90', '70', '97', '92', '95', '54', '12', '71', '50', '65', '84', '63', '73', '57', '41', '76', '14', '3', '69', '93', '60', '49', '4', '58', '9', '37', '32', '2', '96', '34', '77', '21', '6', '67', '68', '36']"
CPLEX,1,16384,VC,gka_28,100,1425,378.6,70,"['53', '8', '16', '17', '48', '26', '2', '24', '38', '94', '22', '76', '27', '18', '66', '51', '90', '42', '12', '71', '63', '80', '73', '60', '89', '4', '58', '43', '85', '77', '82', '21', '91', '97', '55', '74', '75', '67', '9', '95', '28', '40', '47', '86', '99', '83', '35', '5', '96', '98', '79', '19', '62', '70', '92', '54', '44', '68', '50', '65', '45', '57', '33', '25', '93', '15', '0', '6', '34', '36']"
CPLEX,4,4,OCT,gka_1,44,90,0.2,9,"['18', '39', '10', '38', '29', '7', '22', '9', '13']"
CPLEX,4,4,VC,gka_1,44,90,0.1,9,"['43', '25', '7', '23', '12', '3', '15', '4', '9']"
CPLEX,4,4,OCT,aa43,58,303,3.9,18,"['16', '30', '31', '39', '2', '10', '38', '8', '28', '21', '4', '22', '20', '32', '5', '6', '27', '36']"
CPLEX,4,4,VC,aa43,58,303,0.1,18,"['8', '16', '31', '38', '28', '22', '1', '5', '27', '10', '30', '39', '4', '20', '32', '2', '21', '36']"
CPLEX,4,4,OCT,aa45,75,381,6.2,20,"['26', '11', '30', '17', '23', '12', '2', '22', '24', '20', '38', '3', '21', '33', '4', '29', '35', '42', '6', '36']"
CPLEX,4,4,VC,aa45,75,381,0.1,20,"['24', '29', '2', '38', '11', '33', '22', '35', '42', '23', '12', '3', '36', '4', '17', '6', '20', '34', '21', '37']"
CPLEX,4,4,OCT,gka_2,58,149,9.0,16,"['19', '30', '23', '44', '31', '22', '38', '14', '6', '33', '47', '15', '32', '43', '13', '27']"
CPLEX,4,4,VC,gka_2,58,149,0.1,16,"['29', '31', '38', '11', '28', '33', '7', '47', '42', '27', '10', '23', '14', '37', '32', '6']"
CPLEX,4,4,OCT,aa29,265,1048,8.0,21,"['7', '17', '38', '33', '29', '42', '14', '58', '15', '21', '6', '25', '10', '54', '13', '45', '40', '20', '66', '36', '68']"
CPLEX,4,4,VC,aa29,265,1048,0.1,21,"['17', '33', '42', '21', '20', '55', '7', '5', '10', '54', '6', '38', '29', '66', '14', '15', '58', '45', '25', '68', '36']"
CPLEX,4,4,OCT,aa42,226,1100,191.8,30,"['16', '22', '61', '66', '78', '71', '63', '80', '69', '59', '20', '58', '85', '18', '31', '81', '74', '75', '28', '47', '35', '1', '5', '79', '10', '49', '50', '65', '84', '33']"
CPLEX,4,4,VC,aa42,226,1100,0.3,30,"['24', '33', '61', '78', '44', '80', '69', '85', '20', '56', '47', '1', '5', '10', '65', '16', '38', '18', '23', '81', '58', '32', '75', '66', '74', '25', '79', '11', '59', '36']"
CPLEX,4,4,OCT,gka_3,70,223,222.8,23,"['18', '19', '69', '64', '17', '52', '23', '54', '48', '46', '57', '38', '3', '11', '59', '45', '29', '55', '47', '15', '43', '60', '27']"
CPLEX,4,4,VC,gka_3,70,223,0.7,23,"['16', '29', '64', '52', '46', '38', '11', '56', '25', '47', '27', '30', '17', '49', '23', '54', '45', '57', '41', '3', '69', '59', '43']"
CPLEX,4,4,OCT,aa32,126,733,250.8,30,"['24', '16', '55', '52', '39', '9', '38', '57', '11', '56', '33', '25', '7', '35', '1', '59', '27', '19', '30', '23', '45', '14', '60', '49', '4', '0', '32', '21', '20', '36']"
CPLEX,4,4,VC,aa32,126,733,0.4,30,"['39', '16', '7', '26', '57', '33', '59', '27', '23', '14', '60', '4', '20', '9', '32', '21', '24', '55', '52', '11', '56', '35', '1', '19', '30', '45', '25', '6', '0', '36']"
CPLEX,4,4,OCT,aa41,261,1585,600.1,40,"['53', '8', '7', '48', '2', '46', '57', '41', '86', '29', '76', '27', '51', '12', '71', '63', '14', '58', '6', '18', '87', '66', '74', '72', '11', '28', '56', '47', '79', '62', '10', '30', '13', '49', '44', '50', '45', '15', '68', '36']"
CPLEX,4,4,VC,aa41,261,1585,0.7,40,"['8', '48', '46', '20', '62', '56', '7', '47', '86', '1', '53', '10', '30', '50', '13', '6', '2', '41', '29', '18', '23', '12', '14', '15', '58', '72', '87', '66', '74', '51', '45', '44', '79', '11', '49', '57', '63', '71', '76', '68']"
CPLEX,4,4,OCT,gka_24,90,400,600.1,38,"['53', '64', '55', '19', '75', '43', '24', '72', '46', '38', '25', '40', '70', '22', '47', '86', '83', '35', '1', '42', '59', '79', '51', '62', '73', '76', '14', '69', '80', '39', '49', '4', '58', '2', '34', '82', '67', '36']"
CPLEX,4,4,VC,gka_24,90,400,20.7,37,"['53', '39', '2', '46', '38', '33', '22', '66', '51', '42', '63', '59', '60', '89', '4', '58', '15', '24', '64', '87', '55', '81', '67', '72', '56', '25', '34', '30', '83', '85', '79', '62', '13', '80', '20', '40', '36']"
